split_type,fold_id,seed,protein_id,pairs_sampled,n_rc_classes,unique_candidates_in_pairs,candidate_coverage_fraction,min_rank_percentile,max_rank_percentile,q05_rank_percentile,q95_rank_percentile,n_decile_bins_covered,label_quantile_min,label_quantile_max,sampling_protocol
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP3,512,8192,963,0.1175537109375,0.000244140625,1.0,0.03424072265625,0.9643310546875,10,0.000244140625,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP48,512,8192,968,0.1181640625,0.0029296875,0.998779296875,0.037506103515625,0.959674072265625,10,0.0029296875,0.998779296875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP6,512,8192,953,0.1163330078125,0.000732421875,0.999755859375,0.049487304687500004,0.9558837890625,10,0.000732421875,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP9,512,8192,977,0.1192626953125,0.00048828125,0.9989013671875,0.042114257812500014,0.95791015625,10,0.00048828125,0.9989013671875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP1,512,8192,961,0.1173095703125,0.0050048828125,1.0,0.055419921875,0.9541015625,10,0.0050048828125,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP3,512,8192,950,0.115966796875,0.0018310546875,1.0,0.040332031250000004,0.96331787109375,10,0.0018310546875,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP48,512,8192,968,0.1181640625,0.00048828125,1.0,0.0453948974609375,0.963079833984375,10,0.00048828125,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP6,512,8192,965,0.1177978515625,0.002685546875,0.99853515625,0.0513427734375,0.9589111328125,10,0.002685546875,0.99853515625,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP9,512,8192,953,0.1163330078125,0.000244140625,0.9970703125,0.0467041015625,0.9623046875,10,0.000244140625,0.9970703125,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP1,512,8192,957,0.1168212890625,0.0001220703125,0.999755859375,0.047753906250000006,0.9514892578124999,10,0.0001220703125,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP3,512,8192,952,0.1162109375,0.00048828125,0.99951171875,0.0312957763671875,0.957659912109375,10,0.00048828125,0.99951171875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP35,512,8192,966,0.117919921875,0.0009765625,0.99951171875,0.04266357421875,0.960113525390625,10,0.0009765625,0.99951171875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP5,512,8192,964,0.11767578125,0.0001220703125,0.9990234375,0.042694091796875,0.9613281249999999,10,0.0001220703125,0.9990234375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP6,512,8192,965,0.1177978515625,0.000244140625,1.0,0.046484375,0.9583984375,10,0.000244140625,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP9,512,8192,959,0.1170654296875,0.00244140625,0.998291015625,0.045361328125,0.9496826171874998,10,0.00244140625,0.998291015625,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP1,512,8192,959,0.1170654296875,0.0006103515625,0.9989013671875,0.0387939453125,0.9598876953125,10,0.0006103515625,0.9989013671875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP3,512,8192,963,0.1175537109375,0.000244140625,1.0,0.03424072265625,0.9643310546875,10,0.000244140625,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP35,512,8192,978,0.119384765625,0.0003662109375,0.9998779296875,0.041729736328125,0.960906982421875,10,0.0003662109375,0.9998779296875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP5,512,8192,953,0.1163330078125,0.0003662109375,0.999755859375,0.03974609375,0.9653076171875,10,0.0003662109375,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP6,512,8192,953,0.1163330078125,0.000732421875,0.999755859375,0.049487304687500004,0.9558837890625,10,0.000732421875,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP9,512,8192,977,0.1192626953125,0.00048828125,0.9989013671875,0.042114257812500014,0.95791015625,10,0.00048828125,0.9989013671875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP1,512,8192,961,0.1173095703125,0.0050048828125,1.0,0.055419921875,0.9541015625,10,0.0050048828125,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP3,512,8192,950,0.115966796875,0.0018310546875,1.0,0.040332031250000004,0.96331787109375,10,0.0018310546875,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP35,512,8192,952,0.1162109375,0.0030517578125,0.9998779296875,0.0432861328125,0.9483520507812498,10,0.0030517578125,0.9998779296875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP5,512,8192,959,0.1170654296875,0.0010986328125,0.9991455078125,0.0409912109375,0.9444091796874999,10,0.0010986328125,0.9991455078125,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP6,512,8192,965,0.1177978515625,0.002685546875,0.99853515625,0.0513427734375,0.9589111328125,10,0.002685546875,0.99853515625,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP9,512,8192,953,0.1163330078125,0.000244140625,0.9970703125,0.0467041015625,0.9623046875,10,0.000244140625,0.9970703125,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP1,512,8192,957,0.1168212890625,0.0001220703125,0.999755859375,0.047753906250000006,0.9514892578124999,10,0.0001220703125,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP3,512,8192,952,0.1162109375,0.00048828125,0.99951171875,0.0312957763671875,0.957659912109375,10,0.00048828125,0.99951171875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP35,512,8192,966,0.117919921875,0.0009765625,0.99951171875,0.04266357421875,0.960113525390625,10,0.0009765625,0.99951171875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP48,512,8192,973,0.1187744140625,0.0009765625,0.999755859375,0.035546875,0.957666015625,10,0.0009765625,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP5,512,8192,964,0.11767578125,0.0001220703125,0.9990234375,0.042694091796875,0.9613281249999999,10,0.0001220703125,0.9990234375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP1,512,8192,959,0.1170654296875,0.0006103515625,0.9989013671875,0.0387939453125,0.9598876953125,10,0.0006103515625,0.9989013671875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP3,512,8192,963,0.1175537109375,0.000244140625,1.0,0.03424072265625,0.9643310546875,10,0.000244140625,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP35,512,8192,978,0.119384765625,0.0003662109375,0.9998779296875,0.041729736328125,0.960906982421875,10,0.0003662109375,0.9998779296875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP48,512,8192,968,0.1181640625,0.0029296875,0.998779296875,0.037506103515625,0.959674072265625,10,0.0029296875,0.998779296875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP5,512,8192,953,0.1163330078125,0.0003662109375,0.999755859375,0.03974609375,0.9653076171875,10,0.0003662109375,0.999755859375,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP1,512,8192,961,0.1173095703125,0.0050048828125,1.0,0.055419921875,0.9541015625,10,0.0050048828125,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP3,512,8192,950,0.115966796875,0.0018310546875,1.0,0.040332031250000004,0.96331787109375,10,0.0018310546875,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP35,512,8192,952,0.1162109375,0.0030517578125,0.9998779296875,0.0432861328125,0.9483520507812498,10,0.0030517578125,0.9998779296875,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP48,512,8192,968,0.1181640625,0.00048828125,1.0,0.0453948974609375,0.963079833984375,10,0.00048828125,1.0,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP5,512,8192,959,0.1170654296875,0.0010986328125,0.9991455078125,0.0409912109375,0.9444091796874999,10,0.0010986328125,0.9991455078125,"frozen 40% easy, 35% medium, 25% hard within-protein pairs"
